"Code";"Name";"Product types";"Year";"Value";"Measurement unit";"Attribute";
0200000;"LOWER SILESIA";"plain mixed bread (wheat-rye) - per 1kg";"2014";5,85;"PLN";"";
0200000;"LOWER SILESIA";"plain mixed bread (wheat-rye) - per 1kg";"2015";5,87;"PLN";"";
0200000;"LOWER SILESIA";"plain mixed bread (wheat-rye) - per 1kg";"2016";6,04;"PLN";"";
0200000;"LOWER SILESIA";"plain mixed bread (wheat-rye) - per 1kg";"2017";6,29;"PLN";"";
0200000;"LOWER SILESIA";"plain mixed bread (wheat-rye) - per 1kg";"2018";6,28;"PLN";"";
0200000;"LOWER SILESIA";"plain mixed bread (wheat-rye) - per 1kg";"2019";6,26;"PLN";"";
0200000;"LOWER SILESIA";"mąka pszenna "Poznańska", workowana - za 1kg";"1999";0,97;"PLN";"";
0200000;"LOWER SILESIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2000";1,09;"PLN";"";
0200000;"LOWER SILESIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2001";1,20;"PLN";"";
0200000;"LOWER SILESIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2002";1,08;"PLN";"";
0200000;"LOWER SILESIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2003";0,93;"PLN";"";
0200000;"LOWER SILESIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2004";0,00;"PLN";"";
0200000;"LOWER SILESIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2005";0,67;"PLN";"";
0200000;"LOWER SILESIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2006";0,78;"PLN";"";
0200000;"LOWER SILESIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2007";1,08;"PLN";"";
0200000;"LOWER SILESIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2008";1,12;"PLN";"";
0200000;"LOWER SILESIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2009";0,86;"PLN";"";
0200000;"LOWER SILESIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2010";1,03;"PLN";"";
0200000;"LOWER SILESIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2011";1,35;"PLN";"";
0200000;"LOWER SILESIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2012";0,00;"PLN";"";
0200000;"LOWER SILESIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2013";0,00;"PLN";"";
0200000;"LOWER SILESIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2014";0,00;"PLN";"";
0200000;"LOWER SILESIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2015";0,00;"PLN";"";
0200000;"LOWER SILESIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2016";0,00;"PLN";"";
0200000;"LOWER SILESIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2017";0,00;"PLN";"";
0200000;"LOWER SILESIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2018";0,00;"PLN";"";
0200000;"LOWER SILESIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2019";0,00;"PLN";"";
0200000;"LOWER SILESIA";"kasza jęczmienna "Mazurska" - za 1kg";"1999";1,15;"PLN";"";
0200000;"LOWER SILESIA";"kasza jęczmienna "Mazurska" - za 1kg";"2000";0,00;"PLN";"";
0200000;"LOWER SILESIA";"kasza jęczmienna "Mazurska" - za 1kg";"2001";0,00;"PLN";"";
0200000;"LOWER SILESIA";"kasza jęczmienna "Mazurska" - za 1kg";"2002";0,00;"PLN";"";
0200000;"LOWER SILESIA";"kasza jęczmienna "Mazurska" - za 1kg";"2003";1,06;"PLN";"";
0200000;"LOWER SILESIA";"kasza jęczmienna "Mazurska" - za 1kg";"2004";1,13;"PLN";"";
0200000;"LOWER SILESIA";"kasza jęczmienna "Mazurska" - za 1kg";"2005";1,14;"PLN";"";
0200000;"LOWER SILESIA";"kasza jęczmienna "Mazurska" - za 1kg";"2006";0,00;"PLN";"";
0200000;"LOWER SILESIA";"kasza jęczmienna "Mazurska" - za 1kg";"2007";0,00;"PLN";"";
0200000;"LOWER SILESIA";"kasza jęczmienna "Mazurska" - za 1kg";"2008";0,00;"PLN";"";
0200000;"LOWER SILESIA";"kasza jęczmienna "Mazurska" - za 1kg";"2009";0,00;"PLN";"";
0200000;"LOWER SILESIA";"kasza jęczmienna "Mazurska" - za 1kg";"2010";0,00;"PLN";"";
0200000;"LOWER SILESIA";"kasza jęczmienna "Mazurska" - za 1kg";"2011";0,00;"PLN";"";
0200000;"LOWER SILESIA";"kasza jęczmienna "Mazurska" - za 1kg";"2012";0,00;"PLN";"";
0200000;"LOWER SILESIA";"kasza jęczmienna "Mazurska" - za 1kg";"2013";0,00;"PLN";"";
0200000;"LOWER SILESIA";"kasza jęczmienna "Mazurska" - za 1kg";"2014";0,00;"PLN";"";
0200000;"LOWER SILESIA";"kasza jęczmienna "Mazurska" - za 1kg";"2015";0,00;"PLN";"";
0200000;"LOWER SILESIA";"kasza jęczmienna "Mazurska" - za 1kg";"2016";0,00;"PLN";"";
0200000;"LOWER SILESIA";"kasza jęczmienna "Mazurska" - za 1kg";"2017";0,00;"PLN";"";
0200000;"LOWER SILESIA";"kasza jęczmienna "Mazurska" - za 1kg";"2018";0,00;"PLN";"";
0200000;"LOWER SILESIA";"kasza jęczmienna "Mazurska" - za 1kg";"2019";0,00;"PLN";"";
0200000;"LOWER SILESIA";"buckwheat groats roasted whole - per 1kg";"1999";0,00;"PLN";"";
0200000;"LOWER SILESIA";"buckwheat groats roasted whole - per 1kg";"2000";0,00;"PLN";"";
0200000;"LOWER SILESIA";"buckwheat groats roasted whole - per 1kg";"2001";0,00;"PLN";"";
0200000;"LOWER SILESIA";"buckwheat groats roasted whole - per 1kg";"2002";0,00;"PLN";"";
0200000;"LOWER SILESIA";"buckwheat groats roasted whole - per 1kg";"2003";0,00;"PLN";"";
0200000;"LOWER SILESIA";"buckwheat groats roasted whole - per 1kg";"2004";0,00;"PLN";"";
0200000;"LOWER SILESIA";"buckwheat groats roasted whole - per 1kg";"2005";0,00;"PLN";"";
0200000;"LOWER SILESIA";"buckwheat groats roasted whole - per 1kg";"2006";0,00;"PLN";"";
0200000;"LOWER SILESIA";"buckwheat groats roasted whole - per 1kg";"2007";0,00;"PLN";"";
0200000;"LOWER SILESIA";"buckwheat groats roasted whole - per 1kg";"2008";0,00;"PLN";"";
0200000;"LOWER SILESIA";"buckwheat groats roasted whole - per 1kg";"2009";0,00;"PLN";"";
0200000;"LOWER SILESIA";"buckwheat groats roasted whole - per 1kg";"2010";0,00;"PLN";"";
0200000;"LOWER SILESIA";"buckwheat groats roasted whole - per 1kg";"2011";0,00;"PLN";"";
0200000;"LOWER SILESIA";"buckwheat groats roasted whole - per 1kg";"2012";0,00;"PLN";"";
0200000;"LOWER SILESIA";"buckwheat groats roasted whole - per 1kg";"2013";0,00;"PLN";"";
0200000;"LOWER SILESIA";"buckwheat groats roasted whole - per 1kg";"2014";0,00;"PLN";"";
0200000;"LOWER SILESIA";"buckwheat groats roasted whole - per 1kg";"2015";0,00;"PLN";"";
0200000;"LOWER SILESIA";"buckwheat groats roasted whole - per 1kg";"2016";0,00;"PLN";"";
0200000;"LOWER SILESIA";"buckwheat groats roasted whole - per 1kg";"2017";0,00;"PLN";"";
0200000;"LOWER SILESIA";"buckwheat groats roasted whole - per 1kg";"2018";0,00;"PLN";"";
0200000;"LOWER SILESIA";"buckwheat groats roasted whole - per 1kg";"2019";0,00;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"bread 1kg";"1999";1,82;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"bread 1kg";"2000";;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"bread 1kg";"2001";;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"bread 1kg";"2002";;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"bread 1kg";"2003";;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"bread 1kg";"2004";;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"bread 1kg";"2005";;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"bread 1kg";"2006";;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"bread 1kg";"2007";;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"bread 1kg";"2008";;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"bread 1kg";"2009";;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"bread 1kg";"2010";;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"bread 1kg";"2011";;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"bread 1kg";"2012";;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"bread 1kg";"2013";;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"bread 1kg";"2014";;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"bread 1kg";"2015";;"PLN";"";
